Date,Close,Stock
6/15/2017,105.98,DIS
6/16/2017,105.51,DIS
6/19/2017,105.37,DIS
6/20/2017,103.94,DIS
6/21/2017,104.8,DIS
6/22/2017,104.22,DIS
6/23/2017,104.36,DIS
6/26/2017,105.57,DIS
6/27/2017,105.41,DIS
6/28/2017,106.86,DIS
6/29/2017,105.71,DIS
6/30/2017,106.25,DIS
7/3/2017,107.46,DIS
7/5/2017,105.63,DIS
7/6/2017,103.35,DIS
7/7/2017,103.32,DIS
7/10/2017,103.59,DIS
7/11/2017,103.84,DIS
7/12/2017,104.38,DIS
7/13/2017,104.29,DIS
7/14/2017,105.09,DIS
7/17/2017,104.79,DIS
7/18/2017,105.75,DIS
7/19/2017,106.82,DIS
7/20/2017,107.36,DIS
7/21/2017,107.09,DIS
7/24/2017,107,DIS
7/25/2017,106.42,DIS
7/26/2017,106.94,DIS
7/27/2017,110,DIS
7/28/2017,109.96,DIS
7/31/2017,109.93,DIS
8/1/2017,110.61,DIS
8/2/2017,108.67,DIS
8/3/2017,109.12,DIS
8/4/2017,107.69,DIS
8/7/2017,106.35,DIS
8/8/2017,106.98,DIS
8/9/2017,102.83,DIS
8/10/2017,101.35,DIS
8/11/2017,101.99,DIS
8/14/2017,101.4,DIS
8/15/2017,101.51,DIS
8/16/2017,102.2,DIS
8/17/2017,101.38,DIS
8/18/2017,100.7,DIS
8/21/2017,101.17,DIS
8/22/2017,102.77,DIS
8/23/2017,101.5,DIS
8/24/2017,101.52,DIS
8/25/2017,102.41,DIS
8/28/2017,102.56,DIS
8/29/2017,102.57,DIS
8/30/2017,102.87,DIS
8/31/2017,101.2,DIS
9/1/2017,101.5,DIS
9/5/2017,101.6,DIS
9/6/2017,101.5,DIS
9/7/2017,97.06,DIS
9/8/2017,97.07,DIS
9/11/2017,97.09,DIS
9/12/2017,97.89,DIS
9/13/2017,98.82,DIS
9/14/2017,97.9,DIS
9/15/2017,98.52,DIS
9/18/2017,98.1,DIS
9/19/2017,98.43,DIS
9/20/2017,99.21,DIS
9/21/2017,98.89,DIS
