Date,Close,Stock
6/19/2017,36.04,BP
6/20/2017,34.98,BP
6/21/2017,34.65,BP
6/22/2017,34.6,BP
6/23/2017,34.84,BP
6/26/2017,34.88,BP
6/27/2017,35.15,BP
6/28/2017,35.27,BP
6/29/2017,34.86,BP
6/30/2017,34.65,BP
7/3/2017,35.02,BP
7/5/2017,34.42,BP
7/6/2017,34.44,BP
7/7/2017,34.36,BP
7/10/2017,34.33,BP
7/11/2017,34.36,BP
7/12/2017,34.87,BP
7/13/2017,34.72,BP
7/14/2017,34.95,BP
7/17/2017,34.92,BP
7/18/2017,34.83,BP
7/19/2017,35.03,BP
7/20/2017,35.1,BP
7/21/2017,34.68,BP
7/24/2017,34.46,BP
7/25/2017,34.9,BP
7/26/2017,34.84,BP
7/27/2017,34.99,BP
7/28/2017,35.16,BP
7/31/2017,35.14,BP
8/1/2017,36.27,BP
8/2/2017,36.4,BP
8/3/2017,36.14,BP
8/4/2017,36.33,BP
8/7/2017,36.75,BP
8/8/2017,36.54,BP
8/9/2017,36.16,BP
8/10/2017,35.47,BP
8/11/2017,34.94,BP
8/14/2017,34.68,BP
8/15/2017,34.57,BP
8/16/2017,34.29,BP
8/17/2017,34.1,BP
8/18/2017,34.16,BP
8/21/2017,34,BP
8/22/2017,34.15,BP
8/23/2017,34.24,BP
8/24/2017,34.18,BP
8/25/2017,34.54,BP
8/28/2017,34.47,BP
8/29/2017,34.37,BP
8/30/2017,34.37,BP
8/31/2017,34.73,BP
9/1/2017,34.77,BP
9/5/2017,34.95,BP
9/6/2017,35.32,BP
9/7/2017,35.5,BP
9/8/2017,35.32,BP
9/11/2017,35.56,BP
9/12/2017,35.75,BP
9/13/2017,35.99,BP
9/14/2017,36.33,BP
9/15/2017,36.58,BP
9/18/2017,36.65,BP
9/19/2017,36.95,BP
9/20/2017,37.23,BP
9/21/2017,37.7,BP
9/22/2017,37.82,BP
9/25/2017,38.24,BP
9/26/2017,37.87,BP
9/27/2017,38.02,BP
9/28/2017,38.42,BP
9/29/2017,38.43,BP
10/2/2017,38.39,BP
10/3/2017,38.7,BP
10/4/2017,38.65,BP
10/5/2017,38.61,BP
10/6/2017,38.26,BP
10/9/2017,38.46,BP
10/10/2017,38.81,BP
10/11/2017,38.85,BP
10/12/2017,39.01,BP
10/13/2017,39.1,BP
10/16/2017,39.19,BP
10/17/2017,38.69,BP
10/18/2017,38.72,BP
10/19/2017,38.75,BP
10/20/2017,38.75,BP
10/23/2017,38.79,BP
10/24/2017,39,BP
10/25/2017,38.79,BP
10/26/2017,38.65,BP
10/27/2017,39.1,BP
10/30/2017,39.62,BP
10/31/2017,40.67,BP
11/1/2017,40.76,BP
11/2/2017,40.67,BP
11/3/2017,40.56,BP
11/6/2017,41.41,BP
11/7/2017,41.48,BP
11/8/2017,41.4,BP
11/9/2017,40.72,BP
11/10/2017,40.3,BP
11/13/2017,39.88,BP
11/14/2017,39.61,BP
11/15/2017,39.09,BP
11/16/2017,38.77,BP
11/17/2017,39.09,BP
11/20/2017,39,BP
11/21/2017,39.13,BP
11/22/2017,39.78,BP
11/24/2017,40.05,BP
11/27/2017,39.51,BP
11/28/2017,39.9,BP
11/29/2017,39.71,BP
11/30/2017,40.07,BP
12/1/2017,39.95,BP
12/4/2017,39.91,BP
12/5/2017,39.73,BP
12/6/2017,39.58,BP
12/7/2017,39.31,BP
12/8/2017,39.64,BP
12/11/2017,39.93,BP
12/12/2017,40.66,BP
12/13/2017,40.65,BP
12/14/2017,40.63,BP
12/15/2017,40.28,BP
12/18/2017,40.84,BP
12/19/2017,40.64,BP
12/20/2017,40.95,BP
12/21/2017,41.68,BP
12/22/2017,41.29,BP
12/26/2017,41.69,BP
12/27/2017,41.72,BP
12/28/2017,41.87,BP
12/29/2017,42.03,BP
1/2/2018,42.38,BP
1/3/2018,42.87,BP
1/4/2018,43.04,BP
1/5/2018,43.1,BP
1/8/2018,43.08,BP
1/9/2018,42.87,BP
1/10/2018,42.9,BP
1/11/2018,43.27,BP
1/12/2018,43.91,BP
1/16/2018,42.46,BP
1/17/2018,42.88,BP
1/18/2018,42.9,BP
1/19/2018,42.4,BP
1/22/2018,43.39,BP
1/23/2018,43.24,BP
1/24/2018,43.94,BP
1/25/2018,43.74,BP
1/26/2018,43.81,BP
1/29/2018,43.35,BP
1/30/2018,42.81,BP
1/31/2018,42.79,BP
2/1/2018,43.36,BP
2/2/2018,41.16,BP
2/5/2018,39.78,BP
2/6/2018,40.57,BP
2/7/2018,40,BP
2/8/2018,39.55,BP
2/9/2018,39.11,BP
2/12/2018,39.87,BP
2/13/2018,39.69,BP
2/14/2018,40.37,BP
2/15/2018,39.84,BP
2/16/2018,39.62,BP
2/20/2018,39.52,BP
2/21/2018,38.84,BP
2/22/2018,39.25,BP
2/23/2018,40.1,BP
2/26/2018,40.29,BP
2/27/2018,39.5,BP
2/28/2018,38.86,BP
3/1/2018,38.94,BP
3/2/2018,38.7,BP
3/5/2018,39.16,BP
3/6/2018,39.55,BP
3/7/2018,39.31,BP
3/8/2018,39.46,BP
3/9/2018,39.66,BP
3/12/2018,39.85,BP
3/13/2018,39.55,BP
3/14/2018,38.87,BP
3/15/2018,39.03,BP
3/16/2018,39.48,BP
3/19/2018,38.75,BP
3/20/2018,39.04,BP
3/21/2018,40.13,BP
3/22/2018,39.03,BP
3/23/2018,39.12,BP
3/26/2018,40.42,BP
3/27/2018,39.97,BP
3/28/2018,39.6,BP
3/29/2018,40.54,BP
4/2/2018,39.91,BP
4/3/2018,40.71,BP
4/4/2018,41.03,BP
4/5/2018,41.92,BP
4/6/2018,41.76,BP
4/9/2018,41.66,BP
4/10/2018,42.78,BP
4/11/2018,43.06,BP
4/12/2018,43.06,BP
4/13/2018,42.96,BP
4/16/2018,42.72,BP
4/17/2018,42.65,BP
4/18/2018,43.53,BP
4/19/2018,43.67,BP
4/20/2018,43.5,BP
4/23/2018,43.91,BP
4/24/2018,44.24,BP
4/25/2018,44.17,BP
4/26/2018,44.85,BP
4/27/2018,44.22,BP
4/30/2018,44.59,BP
5/1/2018,44.8,BP
5/2/2018,44.7,BP
5/3/2018,44.73,BP
5/4/2018,45.34,BP
5/7/2018,45.69,BP
5/8/2018,45.33,BP
5/9/2018,46.78,BP
5/10/2018,45.88,BP
5/11/2018,45.83,BP
5/14/2018,46.4,BP
5/15/2018,46.79,BP
5/16/2018,46.71,BP
5/17/2018,47.19,BP
5/18/2018,47.38,BP
5/21/2018,47.79,BP
5/22/2018,47.09,BP
5/23/2018,46.45,BP
5/24/2018,45.75,BP
5/25/2018,44.35,BP
5/29/2018,44.54,BP
5/30/2018,45.71,BP
5/31/2018,45.82,BP
6/1/2018,45.92,BP
6/4/2018,45.96,BP
6/5/2018,46.29,BP
6/6/2018,46.28,BP
6/7/2018,47.2,BP
6/8/2018,47.04,BP
6/11/2018,47.12,BP
6/12/2018,46.12,BP
6/13/2018,46.01,BP
6/14/2018,46.44,BP
6/15/2018,45.13,BP
6/18/2018,45.35,BP
6/19/2018,45.15,BP
6/20/2018,44.76,BP
6/21/2018,44.16,BP
6/22/2018,45.78,BP
6/25/2018,44.24,BP
6/26/2018,44.89,BP
6/27/2018,45.44,BP
6/28/2018,45.67,BP
6/29/2018,45.66,BP
7/2/2018,45.2,BP
7/3/2018,45.9,BP
7/5/2018,46,BP
7/6/2018,45.94,BP
7/9/2018,46.6,BP
7/10/2018,47.05,BP
7/11/2018,45.14,BP
7/12/2018,45.35,BP
7/13/2018,45.37,BP
7/16/2018,44.62,BP
7/17/2018,44.43,BP
7/18/2018,44.25,BP
7/19/2018,44.44,BP
7/20/2018,44.54,BP
7/23/2018,44.25,BP
7/24/2018,44.82,BP
7/25/2018,45.04,BP
7/26/2018,44.53,BP
7/27/2018,44.51,BP
7/30/2018,44.41,BP
7/31/2018,45.09,BP
8/1/2018,44.53,BP
8/2/2018,43.77,BP
8/3/2018,43.97,BP
8/6/2018,44.13,BP
8/7/2018,44.72,BP
8/8/2018,44.63,BP
8/9/2018,43.53,BP
8/10/2018,42.99,BP
8/13/2018,42.68,BP
8/14/2018,42.61,BP
8/15/2018,41.53,BP
8/16/2018,41.72,BP
8/17/2018,41.91,BP
8/20/2018,42.38,BP
8/21/2018,42.46,BP
8/22/2018,42.98,BP
8/23/2018,42.94,BP
8/24/2018,43.42,BP
8/27/2018,43.87,BP
8/28/2018,43.26,BP
8/29/2018,43.39,BP
8/30/2018,43.58,BP
8/31/2018,42.88,BP
9/4/2018,42.72,BP
9/5/2018,42.78,BP
9/6/2018,42.21,BP
9/7/2018,42.03,BP
9/10/2018,42.09,BP
9/11/2018,42.65,BP
9/12/2018,43.11,BP
9/13/2018,43.42,BP
9/14/2018,43.26,BP
9/17/2018,43.24,BP
9/18/2018,43.56,BP
9/19/2018,43.98,BP
9/20/2018,44.57,BP
9/21/2018,44.67,BP
9/24/2018,45.22,BP
9/25/2018,46.32,BP
9/26/2018,46.26,BP
9/27/2018,46.87,BP
9/28/2018,46.1,BP
10/1/2018,46.77,BP
10/2/2018,46.81,BP
10/3/2018,46.99,BP
10/4/2018,46.77,BP
10/5/2018,46.5,BP
10/8/2018,45.81,BP
10/9/2018,46.01,BP
10/10/2018,45.15,BP
10/11/2018,44.13,BP
10/12/2018,44.55,BP
10/15/2018,44.5,BP
10/16/2018,44.7,BP
10/17/2018,44.35,BP
10/18/2018,43.86,BP
10/19/2018,44,BP
10/22/2018,43.14,BP
10/23/2018,42.3,BP
10/24/2018,40.99,BP
10/25/2018,41.59,BP
10/26/2018,41.1,BP
10/29/2018,41.03,BP
10/30/2018,42.21,BP
10/31/2018,43.37,BP
11/1/2018,42.65,BP
11/2/2018,41.6,BP
11/5/2018,42.61,BP
11/6/2018,42.66,BP
11/7/2018,43.11,BP
11/8/2018,41.27,BP
11/9/2018,41.24,BP
11/12/2018,40.87,BP
11/13/2018,39.81,BP
11/14/2018,40.33,BP
11/15/2018,41.16,BP
11/16/2018,40.84,BP
11/19/2018,40.92,BP
11/20/2018,40.1,BP
11/21/2018,41.27,BP
11/23/2018,39.89,BP
11/26/2018,40.53,BP
11/27/2018,40.32,BP
11/28/2018,40.84,BP
11/29/2018,40.48,BP
11/30/2018,40.35,BP
12/3/2018,41.19,BP
12/4/2018,40.95,BP
12/6/2018,39.59,BP
12/7/2018,39.51,BP
12/10/2018,39.37,BP
12/11/2018,39.08,BP
12/12/2018,39.05,BP
12/13/2018,39.29,BP
12/14/2018,38.66,BP
12/17/2018,38.41,BP
12/18/2018,37.82,BP
12/19/2018,37.65,BP
12/20/2018,37.26,BP
12/21/2018,37.67,BP
12/24/2018,36.65,BP
12/26/2018,38.06,BP
12/27/2018,37.73,BP
12/28/2018,38.13,BP
12/31/2018,37.92,BP
1/2/2019,38.59,BP
1/3/2019,38.81,BP
1/4/2019,40.03,BP
1/7/2019,40.16,BP
1/8/2019,40.03,BP
1/9/2019,40.36,BP
1/10/2019,40.7,BP
1/11/2019,40.24,BP
1/14/2019,40.42,BP
1/15/2019,40.24,BP
1/16/2019,40.12,BP
1/17/2019,40.13,BP
1/18/2019,40.76,BP
1/22/2019,40.08,BP
1/23/2019,40.12,BP
1/24/2019,40.11,BP
1/25/2019,40.11,BP
1/28/2019,39.57,BP
1/29/2019,40.2,BP
1/30/2019,40.67,BP
1/31/2019,41.12,BP
2/1/2019,41.34,BP
2/4/2019,41.39,BP
2/5/2019,42.82,BP
2/6/2019,43.04,BP
2/7/2019,42.7,BP
