Date,Close,Stock
11/3/2017,55.71,NKE
11/6/2017,56.04,NKE
11/7/2017,55.15,NKE
11/8/2017,55.76,NKE
11/9/2017,56.13,NKE
11/10/2017,56.09,NKE
11/13/2017,55.91,NKE
11/14/2017,55.98,NKE
11/15/2017,56.63,NKE
11/16/2017,57.23,NKE
11/17/2017,59.19,NKE
11/20/2017,59.25,NKE
11/21/2017,59.39,NKE
11/22/2017,59.07,NKE
11/24/2017,59.32,NKE
11/27/2017,59.63,NKE
11/28/2017,59.58,NKE
11/29/2017,60.36,NKE
11/30/2017,60.42,NKE
12/1/2017,59.88,NKE
12/4/2017,60.1,NKE
12/5/2017,60.42,NKE
12/6/2017,59.72,NKE
12/7/2017,60.6,NKE
12/8/2017,61.3,NKE
12/11/2017,61.91,NKE
12/12/2017,62.17,NKE
12/13/2017,64.3,NKE
12/14/2017,64.53,NKE
12/15/2017,64.79,NKE
12/18/2017,64.81,NKE
12/19/2017,64.24,NKE
12/20/2017,63.59,NKE
12/21/2017,64.77,NKE
12/22/2017,63.29,NKE
12/26/2017,63.65,NKE
12/27/2017,62.95,NKE
12/28/2017,62.95,NKE
12/29/2017,62.55,NKE
1/2/2018,63.49,NKE
1/3/2018,63.48,NKE
1/4/2018,63.44,NKE
1/5/2018,63.98,NKE
1/8/2018,64.55,NKE
1/9/2018,64.09,NKE
1/10/2018,64.22,NKE
1/11/2018,64.29,NKE
1/12/2018,64.67,NKE
1/16/2018,63.42,NKE
1/17/2018,63.81,NKE
1/18/2018,64.11,NKE
1/19/2018,67.21,NKE
1/22/2018,66.39,NKE
1/23/2018,67.14,NKE
1/24/2018,68,NKE
1/25/2018,67.71,NKE
1/26/2018,68.04,NKE
1/29/2018,67.58,NKE
1/30/2018,67.33,NKE
1/31/2018,68.22,NKE
2/1/2018,67.65,NKE
2/2/2018,67.22,NKE
2/5/2018,64.39,NKE
2/6/2018,65.22,NKE
2/7/2018,65.63,NKE
2/8/2018,62.49,NKE
2/9/2018,65.49,NKE
2/12/2018,65.98,NKE
2/13/2018,65.87,NKE
2/14/2018,67.96,NKE
2/15/2018,68.29,NKE
2/16/2018,68.3,NKE
2/20/2018,67.49,NKE
2/21/2018,67.05,NKE
2/22/2018,67.13,NKE
2/23/2018,68.16,NKE
2/26/2018,69.65,NKE
2/27/2018,68.03,NKE
2/28/2018,67.03,NKE
3/1/2018,66.32,NKE
3/2/2018,65.89,NKE
3/5/2018,65.05,NKE
3/6/2018,65.24,NKE
3/7/2018,64.17,NKE
3/8/2018,65.11,NKE
3/9/2018,66.3,NKE
3/12/2018,66.82,NKE
3/13/2018,66.17,NKE
3/14/2018,66.2,NKE
3/15/2018,66.39,NKE
3/16/2018,65.91,NKE
3/19/2018,65.71,NKE
3/20/2018,66.8,NKE
3/21/2018,66.35,NKE
3/22/2018,64.42,NKE
