Date,Close,Stock
1/3/2017,753.67,AMZN
1/4/2017,757.18,AMZN
1/5/2017,780.45,AMZN
1/6/2017,795.99,AMZN
1/9/2017,796.92,AMZN
1/10/2017,795.9,AMZN
1/11/2017,799.02,AMZN
1/12/2017,813.64,AMZN
1/13/2017,817.14,AMZN
1/17/2017,809.72,AMZN
1/18/2017,807.48,AMZN
1/19/2017,809.04,AMZN
1/20/2017,808.33,AMZN
1/23/2017,817.88,AMZN
1/24/2017,822.44,AMZN
1/25/2017,836.52,AMZN
1/26/2017,839.15,AMZN
1/27/2017,835.77,AMZN
1/30/2017,830.38,AMZN
1/31/2017,823.48,AMZN
2/1/2017,832.35,AMZN
2/2/2017,839.95,AMZN
2/3/2017,810.2,AMZN
2/6/2017,807.64,AMZN
2/7/2017,812.5,AMZN
2/8/2017,819.71,AMZN
2/9/2017,821.36,AMZN
2/10/2017,827.46,AMZN
2/13/2017,836.53,AMZN
2/14/2017,836.39,AMZN
2/15/2017,842.7,AMZN
2/16/2017,844.14,AMZN
2/17/2017,845.07,AMZN
2/21/2017,856.44,AMZN
2/22/2017,855.61,AMZN
2/23/2017,852.19,AMZN
2/24/2017,845.24,AMZN
2/27/2017,848.64,AMZN
2/28/2017,845.04,AMZN
3/1/2017,853.08,AMZN
3/2/2017,848.91,AMZN
3/3/2017,849.88,AMZN
3/6/2017,846.61,AMZN
3/7/2017,846.02,AMZN
3/8/2017,850.5,AMZN
3/9/2017,853,AMZN
3/10/2017,852.46,AMZN
3/13/2017,854.59,AMZN
3/14/2017,852.53,AMZN
3/15/2017,852.97,AMZN
3/16/2017,853.42,AMZN
3/17/2017,852.31,AMZN
3/20/2017,856.97,AMZN
3/21/2017,843.2,AMZN
3/22/2017,848.06,AMZN
3/23/2017,847.38,AMZN
3/24/2017,845.61,AMZN
3/27/2017,846.82,AMZN
3/28/2017,856,AMZN
3/29/2017,874.32,AMZN
3/30/2017,876.34,AMZN
3/31/2017,886.54,AMZN
4/3/2017,891.51,AMZN
4/4/2017,906.83,AMZN
4/5/2017,909.28,AMZN
4/6/2017,898.28,AMZN
4/7/2017,894.88,AMZN
4/10/2017,907.04,AMZN
4/11/2017,902.36,AMZN
4/12/2017,896.23,AMZN
4/13/2017,884.67,AMZN
4/17/2017,901.99,AMZN
4/18/2017,903.78,AMZN
4/19/2017,899.2,AMZN
4/20/2017,902.06,AMZN
4/21/2017,898.53,AMZN
4/24/2017,907.41,AMZN
4/25/2017,907.62,AMZN
4/26/2017,909.29,AMZN
4/27/2017,918.38,AMZN
4/28/2017,924.99,AMZN
5/1/2017,948.23,AMZN
5/2/2017,946.94,AMZN
5/3/2017,941.03,AMZN
5/4/2017,937.53,AMZN
5/5/2017,934.15,AMZN
5/8/2017,949.04,AMZN
5/9/2017,952.82,AMZN
5/10/2017,948.95,AMZN
5/11/2017,947.62,AMZN
5/12/2017,961.35,AMZN
5/15/2017,957.97,AMZN
5/16/2017,966.07,AMZN
5/17/2017,944.76,AMZN
5/18/2017,958.49,AMZN
5/19/2017,959.84,AMZN
5/22/2017,970.67,AMZN
5/23/2017,971.54,AMZN
5/24/2017,980.35,AMZN
5/25/2017,993.38,AMZN
5/26/2017,995.78,AMZN
5/30/2017,996.7,AMZN
5/31/2017,994.62,AMZN
6/1/2017,995.95,AMZN
6/2/2017,1006.73,AMZN
6/5/2017,1011.34,AMZN
6/6/2017,1003,AMZN
6/7/2017,1010.07,AMZN
6/8/2017,1010.27,AMZN
6/9/2017,978.31,AMZN
6/12/2017,964.91,AMZN
6/13/2017,980.79,AMZN
6/14/2017,976.47,AMZN
6/15/2017,964.17,AMZN
6/16/2017,987.71,AMZN
6/19/2017,995.17,AMZN
6/20/2017,992.59,AMZN
6/21/2017,1002.23,AMZN
6/22/2017,1001.3,AMZN
6/23/2017,1003.74,AMZN
6/26/2017,993.98,AMZN
6/27/2017,976.78,AMZN
6/28/2017,990.33,AMZN
6/29/2017,975.93,AMZN
6/30/2017,968,AMZN
7/3/2017,953.66,AMZN
7/5/2017,971.4,AMZN
7/6/2017,965.14,AMZN
7/7/2017,978.76,AMZN
7/10/2017,996.47,AMZN
7/11/2017,994.13,AMZN
7/12/2017,1006.51,AMZN
7/13/2017,1000.63,AMZN
7/14/2017,1001.81,AMZN
7/17/2017,1010.04,AMZN
7/18/2017,1024.45,AMZN
7/19/2017,1026.87,AMZN
7/20/2017,1028.7,AMZN
7/21/2017,1025.67,AMZN
7/24/2017,1038.95,AMZN
7/25/2017,1039.87,AMZN
7/26/2017,1052.8,AMZN
7/27/2017,1046,AMZN
7/28/2017,1020.04,AMZN
7/31/2017,987.78,AMZN
8/1/2017,996.19,AMZN
8/2/2017,995.89,AMZN
8/3/2017,986.92,AMZN
8/4/2017,987.58,AMZN
8/7/2017,992.27,AMZN
8/8/2017,989.84,AMZN
8/9/2017,982.01,AMZN
8/10/2017,956.92,AMZN
8/11/2017,967.99,AMZN
8/14/2017,983.3,AMZN
8/15/2017,982.74,AMZN
8/16/2017,978.18,AMZN
8/17/2017,960.57,AMZN
8/18/2017,958.47,AMZN
8/21/2017,953.29,AMZN
8/22/2017,966.9,AMZN
8/23/2017,958,AMZN
8/24/2017,952.45,AMZN
8/25/2017,945.26,AMZN
8/28/2017,946.02,AMZN
8/29/2017,954.06,AMZN
8/30/2017,967.59,AMZN
8/31/2017,980.6,AMZN
9/1/2017,978.25,AMZN
9/5/2017,965.27,AMZN
9/6/2017,967.8,AMZN
9/7/2017,979.47,AMZN
9/8/2017,965.9,AMZN
9/11/2017,977.96,AMZN
9/12/2017,982.58,AMZN
9/13/2017,999.6,AMZN
9/14/2017,992.21,AMZN
9/15/2017,986.79,AMZN
9/18/2017,974.19,AMZN
9/19/2017,969.86,AMZN
9/20/2017,973.21,AMZN
9/21/2017,964.65,AMZN
9/22/2017,955.1,AMZN
9/25/2017,939.79,AMZN
9/26/2017,938.6,AMZN
9/27/2017,950.87,AMZN
9/28/2017,956.4,AMZN
9/29/2017,961.35,AMZN
10/2/2017,959.19,AMZN
10/3/2017,957.1,AMZN
10/4/2017,965.45,AMZN
10/5/2017,980.85,AMZN
10/6/2017,989.58,AMZN
10/9/2017,990.99,AMZN
10/10/2017,987.2,AMZN
10/11/2017,995,AMZN
10/12/2017,1000.93,AMZN
10/13/2017,1002.94,AMZN
10/16/2017,1006.34,AMZN
10/17/2017,1009.13,AMZN
10/18/2017,997,AMZN
10/19/2017,986.61,AMZN
10/20/2017,982.91,AMZN
10/23/2017,966.3,AMZN
10/24/2017,975.9,AMZN
10/25/2017,972.91,AMZN
10/26/2017,972.43,AMZN
10/27/2017,1100.95,AMZN
10/30/2017,1110.85,AMZN
10/31/2017,1105.28,AMZN
11/1/2017,1103.68,AMZN
11/2/2017,1094.22,AMZN
11/3/2017,1111.6,AMZN
11/6/2017,1120.66,AMZN
11/7/2017,1123.17,AMZN
11/8/2017,1132.88,AMZN
11/9/2017,1129.13,AMZN
11/10/2017,1125.35,AMZN
11/13/2017,1129.17,AMZN
